timestamp,symbol,best_level_ofi,sequence,multi_level_ofi,integrated_ofi
2024-10-21 12:56:52.237667266+00:00,AAPL,0,15027072,-66.66666666666666,-20.526860855787415
2024-10-21 12:56:53.459845124+00:00,AAPL,0,15028137,66.66666666666666,20.526860855787415
2024-10-21 12:56:54.514621370+00:00,AAPL,0,15029190,-66.66666666666666,-20.526860855787415
2024-10-21 12:56:54.514633369+00:00,AAPL,0,15029191,133.33333333333331,41.05372171157483
2024-10-21 12:56:55.487592894+00:00,AAPL,98,15030172,440.252380952381,166.35452867580764
2024-10-21 12:56:55.488162035+00:00,AAPL,10,15030174,322.781746031746,173.09399585576415
2024-10-21 12:56:55.488202584+00:00,AAPL,0,15030176,248.11230158730157,169.78250307546583
2024-10-21 12:56:55.489128406+00:00,AAPL,0,15030177,-2.0,-0.24315057908546361
2024-10-21 12:56:55.491687427+00:00,AAPL,0,15030179,-243.11230158730157,-169.17462662775216
2024-10-21 12:56:55.492269126+00:00,AAPL,-97,15030180,-409.78174603174597,-174.83484833733706
2024-10-21 12:56:55.527565335+00:00,AAPL,4,15030264,4.0,0.08003919455507548
2024-10-21 12:56:56.401563592+00:00,AAPL,0,15030971,-66.66666666666666,-20.526860855787415
2024-10-21 12:56:57.109300963+00:00,AAPL,93,15031446,405.78174603174597,174.754809142782
2024-10-21 12:56:57.109313303+00:00,AAPL,-93,15031447,-405.78174603174597,-174.754809142782
2024-10-21 12:56:57.109331676+00:00,AAPL,0,15031448,-637.5650793650793,-486.5687975645389
2024-10-21 12:56:57.211996601+00:00,AAPL,0,15031593,637.5650793650793,486.5687975645389
2024-10-21 12:57:02.679458939+00:00,AAPL,3,15037679,3.0,0.06002939591630661
2024-10-21 12:57:07.894276467+00:00,AAPL,0,15044550,-268.94841269841265,-217.17017035829713
2024-10-21 12:57:07.914190596+00:00,AAPL,0,15044613,268.94841269841265,217.17017035829713
2024-10-21 12:57:11.591940037+00:00,AAPL,0,15047569,66.66666666666666,20.526860855787415
2024-10-21 12:57:11.661884620+00:00,AAPL,0,15047746,-66.66666666666666,-20.526860855787415
2024-10-21 12:57:18.749231265+00:00,AAPL,0,15053182,0.0,0.0
2024-10-21 12:57:28.505373884+00:00,AAPL,0,15066354,-637.5650793650793,-486.5687975645389
2024-10-21 12:57:28.505387072+00:00,AAPL,0,15066355,319.1484126984127,258.50475156269795
2024-10-21 12:57:28.732652951+00:00,AAPL,0,15066613,-252.481746031746,-237.97789070691053
2024-10-21 12:57:30.098442544+00:00,AAPL,0,15067937,-66.66666666666666,-20.526860855787415
2024-10-21 12:57:30.210776056+00:00,AAPL,0,15068562,319.1484126984127,258.50475156269795
2024-10-21 12:57:31.558732931+00:00,AAPL,0,15070600,368.41666666666663,269.28295069817733
2024-10-21 12:57:32.240045543+00:00,AAPL,0,15071456,66.66666666666666,20.526860855787415
2024-10-21 12:57:34.892506576+00:00,AAPL,0,15074627,-66.66666666666666,-20.526860855787415
2024-10-21 12:57:35.231673580+00:00,AAPL,0,15075406,66.66666666666666,20.526860855787415
2024-10-21 12:57:36.202783941+00:00,AAPL,0,15076183,-66.66666666666666,-20.526860855787415
2024-10-21 12:57:36.556498826+00:00,AAPL,22,15076900,558.9488095238096,366.62796243444194
2024-10-21 12:57:37.356921695+00:00,AAPL,0,15077820,50.0,41.21890469633635
2024-10-21 12:57:43.442533026+00:00,AAPL,0,15083690,-50.0,-41.21890469633635
2024-10-21 12:57:43.442545695+00:00,AAPL,0,15083691,71.66666666666666,24.64875132542105
2024-10-21 12:57:48.025719444+00:00,AAPL,0,15088296,-544.9488095238096,-346.71388038109586
2024-10-21 12:57:48.025732688+00:00,AAPL,0,15088297,573.2821428571428,404.5029384483475
2024-10-21 12:58:02.614676805+00:00,AAPL,93,15100675,405.78174603174597,174.754809142782
2024-10-21 12:58:02.926203519+00:00,AAPL,0,15101877,138.33333333333331,45.175612181208464
2024-10-21 12:58:03.694780418+00:00,AAPL,0,15104070,133.33333333333331,41.05372171157483
2024-10-21 12:58:04.432418262+00:00,AAPL,0,15105052,0.0,0.0
2024-10-21 12:58:04.559873878+00:00,AAPL,0,15105154,544.0873015873016,395.90876227707474
2024-10-21 12:58:04.664725575+00:00,AAPL,0,15105290,-1.0,-0.12157528954273181
2024-10-21 12:58:07.447014433+00:00,AAPL,0,15108089,-100.0,-12.15752895427318
2024-10-21 12:58:10.664315609+00:00,AAPL,8,15111525,398.61230158730154,187.26706022441522
2024-10-21 12:58:10.664349579+00:00,AAPL,0,15111527,-489.4206349206349,-388.393117540033
2024-10-21 12:58:10.664468587+00:00,AAPL,100,15111531,362.39682539682536,151.52027278970795
2024-10-21 12:58:10.664469496+00:00,AAPL,0,15111532,0.0,0.0
2024-10-21 12:58:10.664469496+00:00,AAPL,0,15111532,0.0,-334.1428798324031
2024-10-21 12:58:10.664469496+00:00,AAPL,0,15111532,-554.9488095238096,0.0
2024-10-21 12:58:10.664469496+00:00,AAPL,0,15111532,-554.9488095238096,-334.1428798324031
2024-10-21 12:58:10.664469496+00:00,AAPL,-22,15111532,0.0,0.0
2024-10-21 12:58:10.664469496+00:00,AAPL,-22,15111532,0.0,-334.1428798324031
2024-10-21 12:58:10.664469496+00:00,AAPL,-22,15111532,-554.9488095238096,0.0
2024-10-21 12:58:10.664469496+00:00,AAPL,-22,15111532,-554.9488095238096,-334.1428798324031
2024-10-21 12:58:10.664494919+00:00,AAPL,0,15111534,0.0,0.0
2024-10-21 12:58:10.664494919+00:00,AAPL,0,15111534,0.0,-1.9009308706830428
2024-10-21 12:58:10.664494919+00:00,AAPL,0,15111534,-95.0,0.0
2024-10-21 12:58:10.664494919+00:00,AAPL,0,15111534,-95.0,-1.9009308706830428
2024-10-21 12:58:10.664494919+00:00,AAPL,-95,15111534,0.0,0.0
2024-10-21 12:58:10.664494919+00:00,AAPL,-95,15111534,0.0,-1.9009308706830428
2024-10-21 12:58:10.664494919+00:00,AAPL,-95,15111534,-95.0,0.0
2024-10-21 12:58:10.664494919+00:00,AAPL,-95,15111534,-95.0,-1.9009308706830428
2024-10-21 12:58:10.664498353+00:00,AAPL,0,15111535,0.0,0.0
2024-10-21 12:58:10.664498353+00:00,AAPL,0,15111535,0.0,-469.0456988143232
2024-10-21 12:58:10.664498353+00:00,AAPL,0,15111535,-589.5650793650793,0.0
2024-10-21 12:58:10.664498353+00:00,AAPL,0,15111535,-589.5650793650793,-469.0456988143232
2024-10-21 12:58:10.664498353+00:00,AAPL,-5,15111535,0.0,0.0
2024-10-21 12:58:10.664498353+00:00,AAPL,-5,15111535,0.0,-469.0456988143232
2024-10-21 12:58:10.664498353+00:00,AAPL,-5,15111535,-589.5650793650793,0.0
2024-10-21 12:58:10.664498353+00:00,AAPL,-5,15111535,-589.5650793650793,-469.0456988143232
2024-10-21 12:58:10.664507666+00:00,AAPL,0,15111536,-135.56349206349205,-98.5586087041689
2024-10-21 12:58:10.664525419+00:00,AAPL,0,15111537,-7.5,-0.9118146715704886
2024-10-21 12:58:10.664537782+00:00,AAPL,0,15111538,7.5,0.9118146715704886
2024-10-21 12:58:10.664655804+00:00,AAPL,6,15111539,267.9801587301587,166.3763908344657
2024-10-21 12:58:10.664709483+00:00,AAPL,0,15111540,-211.98015873015873,-160.1775675654965
2024-10-21 12:58:10.665088334+00:00,AAPL,0,15111544,0.0,0.0
2024-10-21 12:58:10.665164204+00:00,AAPL,0,15111545,-329.01904761904757,-220.21950998506375
2024-10-21 12:58:10.665444096+00:00,AAPL,0,15111548,-160.44563492063492,-117.89756011207994
2024-10-21 12:58:10.666096256+00:00,AAPL,0,15111549,0.0,0.0
2024-10-21 12:58:10.666096256+00:00,AAPL,0,15111549,0.0,-177.29332753828518
2024-10-21 12:58:10.666096256+00:00,AAPL,0,15111549,-305.44841269841265,0.0
